S.  No,Sector/Industry,1999-2000,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25
,8. Education,354346.925850515,364274.91210010304,394859.0830974624,435230.89025888353,476683.97264920024,491456.5186884168,581970.1227083678,588592.7797221353,632653.3750771253,691678.900531753,687671.5116570053,717632.6324681722,710974.3432471891,754703.4695257933,874642.7807125322,859989.0415441528,954556,939569,972853,991899,1024760,1012428,1071646,1133051,1247057,1288506
,9. Human Health and Social Work Activities,118602.53250045415,123864.02235115021,130834.21894857072,140671.6908905713,147683.30458043714,155050.89379777992,171910.16232526145,191023.26475041258,206309.87344587588,267262.72885124217,286804.0557221875,291628.88873091165,320709.2360270071,347501.6305969486,367958.8872251215,394102.3367870174,419645,470322,497098,535541,568638,585137,600835,657046,679024,701954
,10.  Other Private Services,920564.6896457435,976444.1953990748,1052932.5598105,1110622.230366879,1158987.830778865,1201350.223753545,1301524.5010900877,1356717.3219478182,1426139.7793096402,1514411.1379385283,1610859.931795396,1706065.1530126026,1806795.4428437832,1908642.5804144833,2034281.2172426009,2155870.4659514218,2297754,2467019,2655324,2819194,2960260,3110031,3257106,3394654,3518001,3642020
D,GDP (Total of GVA at bp (A+B+C)),15807076.790091746,16382114.106578564,16811856.669885118,17680556.18743921,19040335.607439663,20563084.232267514,21727752.72747118,22838183.383626983,23853320.04026874,24106914.473074175,24652815.951258734,25442796.766372222,26256028.416670837,27268548.75214726,28238304.19305155,29314628.49676474,30508205,31914207,33859620,34916041,34586665,36582482,38843260,38760771,39774502.252000004,40990670.4638319
E,Taxes,899578.6507151839,933975.7566621372,946397.3925823935,1086357.1048368234,1190433.4586826717,1170938.4108677574,1321800.99008843,1297188.3501751295,1359206.360739629,1600447.7039007093,1377395.1158331125,1456850.1250419654,1531323.8263909535,1489924.2477559205,1591092.5995955956,1680356.9855671576,2442880,2483605,2610793,2555422,2449628,2894190,2906476,2672001,2749577,3239611.9168201354
F,Subsidies,66629.7579214749,68478.57413346358,63098.87799119052,115987.76672626636,119241.89659929572,159065.22881790568,168958.05187938153,237776.07092174934,808196.3113536658,455579.37733202317,399217.820707675,581713.0751503634,672620.896879261,459677.9271867838,365702.14732191915,288529.25760436687,226036,222184,192402,287359,325947,375056,779803,632838,466788,617533.0449525382
G,GDP at mp (GVA+T-S),16640025.682885455,17247611.289107237,17695155.18447632,18650925.525549766,20111527.169523038,21574957.414317366,22880595.66568023,23897595.662880365,24404330.089654706,25251782.79964286,25630993.24638417,26317933.816263825,27114731.34618253,28298795.072716396,29463694.645325225,30706456.22472753,32725049,34175628,36278011,37184104,36710346,39101616,40969933,40799934,42057291.252000004,43612749.3356995
H,Net Primary Income (NPI),-256166.23784190125,-256563.41225512442,12707.0852531774,460011.6696509523,319073.3446995783,309247.9184701378,294037.7431292505,272424.66208080447,292903.3870062505,400273.0209859216,668701.5931857566,823458.747399178,858351.2783107779,889874.8693210884,1052148.1471268565,1228502.5747396045,1492194,1479873,1484165,1934448,2424050,3275406,2806550,3235842,3193525,4122053
I,Gross National Income,16383859.445043555,16991047.876852114,17707862.2697295,19110937.19520072,20430600.514222614,21884205.332787503,23174633.40880948,24170020.32496117,24697233.476660956,25652055.82062878,26299694.839569926,27141392.563663002,27973082.62449331,29188669.942037486,30515842.792452082,31934958.799467135,34217243,35655501,37762176,39118552,39134396,42377022,43776483,44035776,45250816.252000004,47734802.3356995
J,GDP (at Current Market Prices),5147094.96132463,5655817.907899253,6030116.987006255,6581622.987767133,7611677.902880173,8619231.796799202,9689070.773723098,11165234.33963877,12647136.76080171,14705697.558496986,16507053.35027136,19731030.411379207,22344639.1371674,25042169.405187108,27952815.352717996,30425879.918414775,32725049,35552819,39189810,43798401,47540409,55836225,66657868,83650830,105240534,113807399.20511661
"GVA: Gross Value Added, mp: Market Prices, bp: Basic Prices",,,,,,,,,,,,,,,,,,,,,,,,,,,
OD: Ownership of Dwellings,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Pakistan Bureau of Statistics (PBS),,,,,,,,,,,,,,,,,,,,,,,,,,,
