Source_File,Date,Category,Item_No,Item_Description,Unit,City,Metric,Value
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,3,Rice IRRI-6/9 (Sindh/Punjab),1 Kg,Gujranwala,AVG,0.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,3,Rice IRRI-6/9 (Sindh/Punjab),1 Kg,Gujranwala,MAX,0.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,3,Rice IRRI-6/9 (Sindh/Punjab),1 Kg,Sialkot,MIN,0.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,3,Rice IRRI-6/9 (Sindh/Punjab),1 Kg,Sialkot,AVG,0.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,3,Rice IRRI-6/9 (Sindh/Punjab),1 Kg,Sialkot,MAX,0.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,3,Rice IRRI-6/9 (Sindh/Punjab),1 Kg,Lahore,MIN,0.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,3,Rice IRRI-6/9 (Sindh/Punjab),1 Kg,Lahore,AVG,0.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,3,Rice IRRI-6/9 (Sindh/Punjab),1 Kg,Lahore,MAX,0.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,3,Rice IRRI-6/9 (Sindh/Punjab),1 Kg,Faisalabad,MIN,160.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,3,Rice IRRI-6/9 (Sindh/Punjab),1 Kg,Faisalabad,AVG,160.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,3,Rice IRRI-6/9 (Sindh/Punjab),1 Kg,Faisalabad,MAX,160.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,3,Rice IRRI-6/9 (Sindh/Punjab),1 Kg,Sargodha,MIN,180.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,3,Rice IRRI-6/9 (Sindh/Punjab),1 Kg,Sargodha,AVG,186.61
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,3,Rice IRRI-6/9 (Sindh/Punjab),1 Kg,Sargodha,MAX,190.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,4,Bread plain (Small Size),Each,Islamabad,MIN,110.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,4,Bread plain (Small Size),Each,Islamabad,AVG,110.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,4,Bread plain (Small Size),Each,Islamabad,MAX,110.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,4,Bread plain (Small Size),Each,Rawalpindi,MIN,110.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,4,Bread plain (Small Size),Each,Rawalpindi,AVG,110.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,4,Bread plain (Small Size),Each,Rawalpindi,MAX,110.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,4,Bread plain (Small Size),Each,Gujranwala,MIN,110.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,4,Bread plain (Small Size),Each,Gujranwala,AVG,110.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,4,Bread plain (Small Size),Each,Gujranwala,MAX,110.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,4,Bread plain (Small Size),Each,Sialkot,MIN,120.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,4,Bread plain (Small Size),Each,Sialkot,AVG,120.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,4,Bread plain (Small Size),Each,Sialkot,MAX,120.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,4,Bread plain (Small Size),Each,Lahore,MIN,110.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,4,Bread plain (Small Size),Each,Lahore,AVG,110.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,4,Bread plain (Small Size),Each,Lahore,MAX,110.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,4,Bread plain (Small Size),Each,Faisalabad,MIN,110.0
