source_file,source_kind,source_sheet,2002-03,mineral,province,period_type,period_order,period,value,unit
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,(ONYX),Balochistan,month,4,2-Oct,6917.0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,(ONYX),Balochistan,month,4,2-Oct,2370.0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,(ONYX),Balochistan,month,4,2-Oct,7350.0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,(ONYX),Balochistan,month,4,2-Oct,2564.0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,(ONYX),Balochistan,month,4,2-Oct,2140.0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,(ONYX),Balochistan,month,4,2-Oct,89.0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,(ONYX),Balochistan,month,4,2-Oct,170.0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,(ONYX),Balochistan,month,4,2-Oct,189.0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,(ONYX),Balochistan,month,5,2-Nov,2694.0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,(ONYX),Balochistan,month,5,2-Nov,2503.0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,(ONYX),Balochistan,month,5,2-Nov,1516.0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,(ONYX),Balochistan,month,5,2-Nov,1301.0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,(ONYX),Balochistan,month,5,2-Nov,4151.0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,(ONYX),Balochistan,month,5,2-Nov,4749.0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,(ONYX),Balochistan,month,5,2-Nov,4753.0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,(ONYX),Balochistan,month,5,2-Nov,1249.0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,(ONYX),Balochistan,month,5,2-Nov,5549.0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,(ONYX),Balochistan,month,5,2-Nov,4485.0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,(ONYX),Balochistan,month,5,2-Nov,3858.0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,(ONYX),Balochistan,month,5,2-Nov,3096.0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,(ONYX),Balochistan,month,5,2-Nov,760.0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,(ONYX),Balochistan,month,5,2-Nov,982.0,MT
