source_pdf,year,s_no,items,unit,weight,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,year_total,page,table_index
Table-2-23-24-1.pdf,2023-24,2,Bakery products,MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2
Table-2-23-24-1.pdf,2023-24,3,Chocolate & sugar confectionery,MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2
Table-2-23-24-1.pdf,2023-24,4,Cooking oil,MT,1.48,51158.0,52936.0,51382.0,51192.0,53618.0,55078.0,52446.0,53246.0,54485.0,54026.0,55314.0,56933.0,641814.0,1,2
Table-2-23-24-1.pdf,2023-24,5,Vegetable ghee,MT,1.38,122480.0,123769.0,121315.0,129311.0,128094.0,126574.0,128044.0,125192.0,121706.0,117033.0,125699.0,122775.0,1491992.0,1,2
Table-2-23-24-1.pdf,2023-24,7-Jun,Wheat & Rice Milling,MT,3.66,776407.0,795932.0,829598.0,818268.0,826295.0,765238.0,781138.0,810578.0,840726.0,847256.0,828185.0,841654.0,9761275.0,1,2
Table-2-23-24-1.pdf,2023-24,9-Aug,Starch & its products,MT,0.27,36851.0,36767.0,36979.0,35841.0,36723.0,36972.0,37062.0,35752.0,36407.0,36578.0,36607.0,37612.0,440151.0,1,2
Table-2-23-24-1.pdf,2023-24,8,Starch,MT,0.0,21985.0,22646.0,22760.0,21987.0,22811.0,22915.0,22936.0,21996.0,22466.0,22577.0,22581.0,23471.0,271131.0,1,2
Table-2-23-24-1.pdf,2023-24,9,Glucose,MT,0.0,14866.0,14121.0,14219.0,13854.0,13912.0,14057.0,14126.0,13756.0,13941.0,14001.0,14026.0,14141.0,169020.0,1,2
Table-2-23-24-1.pdf,2023-24,10,Tea blended,MT,0.48,10642.0,12717.0,12177.0,11236.0,12123.0,12035.0,11280.0,11093.0,12373.0,11199.0,9913.0,9447.0,136235.0,1,2
Table-2-23-24-1.pdf,2023-24,12-Nov,Soft drinks and Mineral waters,000 Litres,1.63,317899.0,282750.0,237951.0,193695.0,171845.0,128361.0,147606.0,188173.0,267949.2,268100.4,304348.2,353045.2,2861723.0,1,2
Table-2-23-24-1.pdf,2023-24,13-15,"Juices, syrups & squashes",000 L,2.21,35442.0,32665.0,32228.0,26443.0,24242.0,23305.0,25462.0,33389.0,27005.0,29231.0,35994.0,33434.0,358840.0,1,2
Table-2-23-24-1.pdf,2023-24,13,Fruit Juices,000 L,0.0,26424.0,22307.0,22382.0,17425.0,14558.0,12280.0,13289.0,21121.0,18937.0,20900.0,27733.0,26397.0,243753.0,1,2
