source_file,source_kind,source_sheet,2002-03,mineral,province,period_type,period_order,period,value,unit
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,2,2-Aug,228,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,2,2-Aug,108,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,2,2-Aug,0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,2,2-Aug,132,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,2,2-Aug,318,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,2,2-Aug,242,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,2,2-Aug,193,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,2,2-Aug,625,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,2,2-Aug,237,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,2,2-Aug,0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,2,2-Aug,40,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,3,2-Sep,80,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,3,2-Sep,30,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,3,2-Sep,0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,3,2-Sep,82,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,3,2-Sep,229,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,3,2-Sep,144,MT
